month,number_of_vessels
1995-01,8876
1995-02,7593
1995-03,8610
1995-04,8483
1995-05,8749
1995-06,8507
1995-07,8669
1995-08,8498
1995-09,8582
1995-10,9140
1995-11,8788
1995-12,9519
1996-01,9592
1996-02,8687
1996-03,9971
1996-04,9633
1996-05,9836
1996-06,9635
1996-07,10046
1996-08,9888
1996-09,9840
1996-10,10218
1996-11,10083
1996-12,10294
1997-01,10726
1997-02,8945
1997-03,10605
1997-04,10332
1997-05,10861
1997-06,10730
1997-07,11334
1997-08,11169
1997-09,11317
1997-10,11481
1997-11,11075
1997-12,11758
1998-01,11479
1998-02,10631
1998-03,11640
1998-04,11095
1998-05,11909
1998-06,11702
1998-07,11915
1998-08,12030
1998-09,11904
1998-10,12078
1998-11,12088
1998-12,12451
1999-01,12227
1999-02,10743
1999-03,12393
1999-04,11822
1999-05,12033
1999-06,11750
1999-07,12341
1999-08,12059
1999-09,11639
1999-10,11776
1999-11,11176
1999-12,11564
2000-01,11433
2000-02,10894
2000-03,12297
2000-04,12004
2000-05,12394
2000-06,12425
2000-07,12612
2000-08,12363
2000-09,11934
2000-10,12511
2000-11,12107
2000-12,12409
2001-01,12186
2001-02,11131
2001-03,12574
2001-04,11862
2001-05,12561
2001-06,12048
2001-07,12912
2001-08,12696
2001-09,12055
2001-10,12454
2001-11,11871
2001-12,11915
2002-01,11910
2002-02,10512
2002-03,12115
2002-04,11631
2002-05,12089
2002-06,11719
2002-07,12458
2002-08,12178
2002-09,11878
2002-10,12369
2002-11,11976
2002-12,11911
2003-01,12072
2003-02,10478
2003-03,11860
2003-04,11108
2003-05,10837
2003-06,10755
2003-07,11317
2003-08,11284
2003-09,11098
2003-10,11502
2003-11,11342
2003-12,11733
2004-01,11448
2004-02,10724
2004-03,11882
2004-04,10466
2004-05,10975
2004-06,10764
2004-07,11287
2004-08,11028
2004-09,10933
2004-10,10950
2004-11,11018
2004-12,11710
2005-01,11744
2005-02,10025
2005-03,11345
2005-04,11044
2005-05,11260
2005-06,10764
2005-07,10826
2005-08,10878
2005-09,10498
2005-10,10922
2005-11,10263
2005-12,10749
2006-01,10536
2006-02,9791
2006-03,11200
2006-04,10563
2006-05,10952
2006-06,10857
2006-07,10858
2006-08,10952
2006-09,10955
2006-10,10743
2006-11,10661
2006-12,10854
2007-01,10918
2007-02,9604
2007-03,10501
2007-04,10252
2007-05,10631
2007-06,10585
2007-07,11070
2007-08,11146
2007-09,10986
2007-10,11083
2007-11,10783
2007-12,11009
2008-01,11058
2008-02,10043
2008-03,11123
2008-04,11149
2008-05,11429
2008-06,10879
2008-07,11378
2008-08,11201
2008-09,10760
2008-10,10897
2008-11,10741
2008-12,11037
2009-01,10560
2009-02,9889
2009-03,11056
2009-04,10698
2009-05,11187
2009-06,11029
2009-07,11438
2009-08,11261
2009-09,10799
2009-10,11163
2009-11,10502
2009-12,10993
2010-01,10993
2010-02,9981
2010-03,10997
2010-04,10431
2010-05,10706
2010-06,10598
2010-07,10891
2010-08,10645
2010-09,10200
2010-10,10546
2010-11,10307
2010-12,11004
2011-01,10937
2011-02,9488
2011-03,10994
2011-04,10401
2011-05,10680
2011-06,10468
2011-07,11148
2011-08,10827
2011-09,10432
2011-10,11069
2011-11,10519
2011-12,11035
2012-01,10743
2012-02,10120
2012-03,11050
2012-04,10669
2012-05,11218
2012-06,10790
2012-07,11099
2012-08,10825
2012-09,10768
2012-10,10959
2012-11,10906
2012-12,11275
2013-01,11564
2013-02,10363
2013-03,11579
2013-04,11360
2013-05,11803
2013-06,11565
2013-07,11992
2013-08,11921
2013-09,11716
2013-10,11975
2013-11,11667
2013-12,11912
2014-01,11754
2014-02,10679
2014-03,11886
2014-04,11432
2014-05,11589
2014-06,11227
2014-07,11172
2014-08,11091
2014-09,10818
2014-10,11281
2014-11,10766
2014-12,11188
2015-01,11319
2015-02,10240
2015-03,11126
2015-04,10762
2015-05,11021
2015-06,10960
2015-07,11295
2015-08,11536
2015-09,11045
2015-10,11144
2015-11,11046
2015-12,11428
2016-01,11657
2016-02,10621
2016-03,11789
2016-04,11530
2016-05,11708
2016-06,11454
2016-07,11322
2016-08,11708
2016-09,11437
2016-10,11928
2016-11,11713
2016-12,12131
2017-01,11925
2017-02,10666
2017-03,12318
2017-04,12260
2017-05,12655
2017-06,12275
2017-07,11811
2017-08,11916
2017-09,11619
2017-10,12549
2017-11,12347
2017-12,12806
2018-01,12642
2018-02,11130
2018-03,12546
2018-04,12133
2018-05,12225
2018-06,11192
2018-07,11605
2018-08,11389
2018-09,11367
2018-10,11629
2018-11,11187
2018-12,11723
2019-01,11678
2019-02,10275
2019-03,11509
2019-04,11243
2019-05,11697
2019-06,11138
2019-07,11554
2019-08,11739
2019-09,11547
2019-10,12026
2019-11,11743
2019-12,12148
2020-01,12134
2020-02,10879
2020-03,9827
2020-04,7015
2020-05,6582
2020-06,6701
2020-07,7178
2020-08,6958
2020-09,7255
2020-10,7502
2020-11,7347
2020-12,7479
2021-01,7641
2021-02,6990
2021-03,7788
2021-04,7500
2021-05,7211
2021-06,7247
2021-07,7246
2021-08,7178
2021-09,6918
2021-10,7098
2021-11,7130
2021-12,7286
2022-01,7213
2022-02,6440
2022-03,7307
2022-04,7608
2022-05,7815
2022-06,8301
2022-07,9044
2022-08,9129
2022-09,8976
2022-10,9451
2022-11,9442
2022-12,10081
2023-01,10035
2023-02,9202
2023-03,10270
2023-04,9987
2023-05,10324
2023-06,9845
2023-07,10196
2023-08,10070
2023-09,10044
2023-10,10364
2023-11,10325
2023-12,10741
2024-01,10872
2024-02,9987
2024-03,10678
2024-04,10066
2024-05,10717
2024-06,10107
2024-07,10632
2024-08,10796
